Country,state,city,region,region_alt,region_alt_2,region_alt_atlantia,am
NI,Rivas,Peñas Blancas,Region II,,,,
SV,Morazán,San Lucas,Oriental,,,,
CO,Antioquia,Ituango,Central,Antioquia / Eje Cafetero,,Centro,AM de Medellín
BR,Minas Gerais,Frei Lagonegro,Sudeste,,,,AM de Rest of Minas
UY,Colonia,Minuano,Litoral,,,,
SV,Cuscatlán,Jiñuco,Central,,,,
NI,Carazo,Los Encuentros,Region II,,,,
DO,Espaillat,,,,,,
SV,La Paz,San José La Montaña,Paracentral,,,,
CR,Cartago,Tres de Junio,Cartago,,,,
SV,La Union ,Yologual,Oriental,,,,
SV,La Paz,La Zambombera,Paracentral,,,,
SV,Sonsonate,Cantón Peña Blanca,Occidental,,,,
GT,Sacatepéquez,Magdalena Milpas Altas,,,,,
CO,Boyacá,Sogamoso,Oriental,Centro,,Andes,AM de Bogotá
CR,Guanacaste,Boquerones,Other,,,,
CR,Guanacaste,San Buenaventura,Other,,,,
CO,Antioquia,Sabaneta,,Antioquia / Eje Cafetero,,Centro,AM de Medellín
CR,Cartago,Jicotea,Cartago,,,,
MX,Oaxaca,San Francisco Sola,Southwest,Area 6,,,
CO,Caldas,Manizales,Central,Antioquia / Eje Cafetero,,Centro,AM de Bogotá
UY,Tacuarembó,Los Furtados,Norte,,,,
CR,Guanacaste,Hojancha,,,,,
SV,Cuscatlán,El Carrizal,Central,,,,
SV,Usulután,Colón,Oriental,,,,
SV,San Miguel,La Flor,Oriental,,,,
CR,Limón,Asunción,Other,,,,
EC,Santo Domingo de los Tsáchilas,Santo Domingo,,Costa,,Costa,
SV,Santa Ana,Caserío Llano Grande,Occidental,,,,
BR,Espírito Santo,Guarapari,Sudeste,,,,AM de Rio de Janeiro
MX,Oaxaca,San Miguel Amatitlán,Southwest,Area 6,,,
PR,Bayamón,Toa Baja,,,,,San Juan
CR,San José,Praga,San Jose,,,,
MX,Oaxaca,Santo Domingo Ozolotepec,Southwest,Area 6,,,
NI,Chinandega,Salvador,Region III,,,,
NI,León,Mina La India,Region II,,,,
BR,Pernambuco,Camocim de São Félix,Nordeste,,,,
NI,Rivas,El Carmen,Region II,,,,
SV,San Miguel,El Güiscoyolito,Oriental,,,,
CL,Biobío,Mulchén,,,,,
NI,Granada,La Granja,Region II,,,,
SV,La Paz,El Maneadero,Paracentral,,,,
CR,Cartago,Pastora,Cartago,,,,
SV,Santa Ana,Los Rincones,Occidental,,,,
EC,El Oro,Piñas,,,,,
EC,Manabí,Bolívar,,,,,
SV,San Salvador,El Mico,Central,,,,
SG,River Valley,,Central Region,,,,
CR,Guanacaste,Bolgón,Other,,,,
SV,La Libertad,Sacamil,Central,,,,
SV,Chalatenango,Obrajuelo,Central,,,,
CA,,Puerto la Cruz,,,,,
SV,San Vicente,El Tamarindo,Paracentral,,,,
SV,San Vicente,La Cruz,Paracentral,,,,
UY,Florida,El Infiernillo,Centro-sur,,,,
SV,Cabañas,El Zope,Paracentral,,,,
CL,Arica y Parinacota,Putre,,,,,
SV,La Union ,Gabilan,Oriental,,,,
SV,La Libertad,Hacienda Taquio,Central,,,,
CR,Guanacaste,Hacienda El Hacha,Other,,,,
SV,San Salvador,Planes de Renderos,,,,,
SV,Santa Ana,Santa Eloísa,Occidental,,,,
